id,name
0,a quality score of 0
1,a quality score of 1
2,a quality score of 2
3,a quality score of 3
4,a quality score of 4
5,a quality score of 5
6,a quality score of 6
7,a quality score of 7
8,a quality score of 8
9,a quality score of 9
10,a quality score of 10
11,a quality score of 11
12,a quality score of 12
13,a quality score of 13
14,a quality score of 14
15,a quality score of 15
16,a quality score of 16
17,a quality score of 17
18,a quality score of 18
19,a quality score of 19
20,a quality score of 20
21,a quality score of 21
22,a quality score of 22
23,a quality score of 23
24,a quality score of 24
25,a quality score of 25
26,a quality score of 26
27,a quality score of 27
28,a quality score of 28
29,a quality score of 29
30,a quality score of 30
31,a quality score of 31
32,a quality score of 32
33,a quality score of 33
34,a quality score of 34
35,a quality score of 35
36,a quality score of 36
37,a quality score of 37
38,a quality score of 38
39,a quality score of 39
40,a quality score of 40
41,a quality score of 41
42,a quality score of 42
43,a quality score of 43
44,a quality score of 44
45,a quality score of 45
46,a quality score of 46
47,a quality score of 47
48,a quality score of 48
49,a quality score of 49
50,a quality score of 50
51,a quality score of 51
52,a quality score of 52
53,a quality score of 53
54,a quality score of 54
55,a quality score of 55
56,a quality score of 56
57,a quality score of 57
58,a quality score of 58
59,a quality score of 59
60,a quality score of 60
61,a quality score of 61
62,a quality score of 62
63,a quality score of 63
64,a quality score of 64
65,a quality score of 65
66,a quality score of 66
67,a quality score of 67
68,a quality score of 68
69,a quality score of 69
70,a quality score of 70
71,a quality score of 71
72,a quality score of 72
73,a quality score of 73
74,a quality score of 74
75,a quality score of 75
76,a quality score of 76
77,a quality score of 77
78,a quality score of 78
79,a quality score of 79
80,a quality score of 80
81,a quality score of 81
82,a quality score of 82
83,a quality score of 83
84,a quality score of 84
85,a quality score of 85
86,a quality score of 86
87,a quality score of 87
88,a quality score of 88
89,a quality score of 89
90,a quality score of 90
91,a quality score of 91
92,a quality score of 92
93,a quality score of 93
94,a quality score of 94
95,a quality score of 95
96,a quality score of 96
97,a quality score of 97
98,a quality score of 98
99,a quality score of 99
100,a quality score of 100
101,poor performance and a quality score of 0
102,fair performance and a quality score of 30
103,good performance and a quality score of 60
104,excellent performance and a quality score of 100
